TV_Brand,TV_Name,Star_Rating,Warranty,ScreenSize_cm,ScreenSize_inch,Sound_Output,Rating,Reviews,Price,Supported_apps,Resolution
Hisense, A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,139.0,55,30,0,0,39999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 163 cm (65 inch) Ultra HD (4K) LED Smart TV,4.4,1,163.0,65,20,24,2,99999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, The Frame 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.5,1,163.0,65,40,3209,511,124999,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.3,1,80.0,32,20,1656,161,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,4.3,1,80.0,32,20,309,11,14499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,24,113963,14025,13999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.2,1,80.0,32,20,37,4,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,108.0,43,20,70841,7591,27999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.3,1,80.0,32,10,21371,1920,16499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 108 cm (43 inch) Full HD LED Smart Android TV,4.3,1,108.0,43,24,113963,14025,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.4,1,80.0,32,20,29387,2754,16999,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,100.0,40,20,590772,61608,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
Mi, 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,80.0,50,20,70841,7591,33999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.4,1,108.0,43,20,9991,1180,34999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,108.0,43,24,694,173,28999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,1,80.0,32,20,17694,1665,15499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,4.4,1,80.0,32,20,18465,2384,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,0.0,1,108.0,43,20,0,0,36999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,108.0,43,20,590772,61608,24999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
OnePlus, Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,20,18499,1646,14999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Hisense," A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...",4.6,1,139.0,55,2,3946,822,45499,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
iFFALCON, by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,1,126.0,50,24,3355,461,26999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
KODAK, 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.5,1,80.0,32,24,11992,3227,13499,Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Vu, Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,1,126.0,50,30,16062,2905,35999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart TV,0.0,1,125.0,50,20,0,0,48999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 163 cm (65 inch) Ultra HD (4K) LED Smart TV,4.4,1,163.0,65,20,24,2,99999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,126.0,50,30,3209,511,33999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.3,1,80.0,32,20,1656,161,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,4.3,1,80.0,32,20,309,11,14499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,24,113963,14025,13999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.2,1,80.0,32,20,37,4,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,108.0,43,20,70841,7591,27999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.3,1,80.0,32,10,21371,1920,16499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 108 cm (43 inch) Full HD LED Smart Android TV,4.3,1,108.0,43,24,113963,14025,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.4,1,80.0,32,20,29387,2754,16999,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,100.0,40,20,590772,61608,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
Mi, 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,80.0,50,20,70841,7591,33999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.4,1,108.0,43,20,9991,1180,34999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,139.0,55,30,694,173,39999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,1,80.0,32,20,17694,1665,15499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,4.4,1,80.0,32,20,18465,2384,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,0.0,1,108.0,43,20,0,0,36999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,108.0,43,20,590772,61608,24999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
OnePlus, Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,20,18499,1646,14999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Hisense, A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,108.0,43,24,3946,822,28999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
iFFALCON, by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,1,126.0,50,24,3355,461,26999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
KODAK, 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.5,1,80.0,32,24,11992,3227,13499,Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Vu, Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,1,126.0,50,30,16062,2905,35999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense," A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...",4.6,1,139.0,55,2,0,0,45499,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 163 cm (65 inch) Ultra HD (4K) LED Smart TV,4.4,1,163.0,65,20,24,2,99999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, The Frame 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.5,1,163.0,65,40,3209,511,124999,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.3,1,80.0,32,20,1656,161,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,4.3,1,80.0,32,20,309,11,14499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,24,113963,14025,13999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.2,1,80.0,32,20,37,4,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,108.0,43,20,70841,7591,27999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.3,1,80.0,32,10,21371,1920,16499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 108 cm (43 inch) Full HD LED Smart Android TV,4.3,1,108.0,43,24,113963,14025,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.4,1,80.0,32,20,29387,2754,16999,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,100.0,40,20,590772,61608,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
Mi, 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,80.0,50,20,70841,7591,33999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.4,1,108.0,43,20,9991,1180,34999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,108.0,43,24,694,173,28999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,1,80.0,32,20,17694,1665,15499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,4.4,1,80.0,32,20,18465,2384,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,0.0,1,108.0,43,20,0,0,36999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,108.0,43,20,590772,61608,24999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
OnePlus, Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,20,18499,1646,14999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Hisense," A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...",4.6,1,139.0,55,2,3946,822,45499,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
iFFALCON, by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,1,126.0,50,24,3355,461,26999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
KODAK, 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.5,1,80.0,32,24,11992,3227,13499,Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Vu, Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,1,126.0,50,30,16062,2905,35999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart TV,0.0,1,125.0,50,20,0,0,48999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 163 cm (65 inch) Ultra HD (4K) LED Smart TV,4.4,1,163.0,65,20,24,2,99999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,126.0,50,30,3209,511,33999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.3,1,80.0,32,20,1656,161,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,4.3,1,80.0,32,20,309,11,14499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,24,113963,14025,13999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.2,1,80.0,32,20,37,4,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,108.0,43,20,70841,7591,27999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.3,1,80.0,32,10,21371,1920,16499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 108 cm (43 inch) Full HD LED Smart Android TV,4.3,1,108.0,43,24,113963,14025,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.4,1,80.0,32,20,29387,2754,16999,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,100.0,40,20,590772,61608,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
Mi, 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,80.0,50,20,70841,7591,33999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.4,1,108.0,43,20,9991,1180,34999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 125 cm (50 inch) Ultra HD (4K) LED Smart TV,4.5,1,125.0,50,20,694,173,47999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,1,80.0,32,20,17694,1665,15499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,4.4,1,80.0,32,20,18465,2384,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,0.0,1,108.0,43,20,0,0,36999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,108.0,43,20,590772,61608,24999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
OnePlus, Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,20,18499,1646,14999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Hisense, A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,108.0,43,24,3946,822,28999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
iFFALCON, by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,1,126.0,50,24,3355,461,26999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
KODAK, 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.5,1,80.0,32,24,11992,3227,13499,Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Vu, Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,1,126.0,50,30,16062,2905,35999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,139.0,55,30,0,0,39999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 163 cm (65 inch) Ultra HD (4K) LED Smart TV,4.4,1,163.0,65,20,24,2,99999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,126.0,50,30,3209,511,33999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.3,1,80.0,32,20,1656,161,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV with Google Data Saver,4.3,1,80.0,32,20,309,11,14499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,24,113963,14025,13999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition with Voice Search,4.2,1,80.0,32,20,37,4,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,108.0,43,20,70841,7591,27999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.3,1,80.0,32,10,21371,1920,16499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
realme, 108 cm (43 inch) Full HD LED Smart Android TV,4.3,1,108.0,43,24,113963,14025,23999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,4.4,1,80.0,32,20,29387,2754,16999,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
Mi, 4A 100 cm (40 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,100.0,40,20,590772,61608,21999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
Mi, 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.4,1,80.0,50,20,70841,7591,33999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
LG, 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.4,1,108.0,43,20,9991,1180,34999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Hisense, A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,139.0,55,30,694,173,39999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,1,80.0,32,20,17694,1665,15499,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,4.4,1,80.0,32,20,18465,2384,17490,Netflix|Disney+Hotstar|Youtube,1366 x 768 Pixels
SAMSUNG, Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,0.0,1,108.0,43,20,0,0,36999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
Mi, 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV with With Google Data Saver,4.4,1,108.0,43,20,590772,61608,24999,Netflix|Prime Video|Disney+Hotstar|Youtube,1920 x 1080 Pixels
OnePlus, Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,1,80.0,32,20,18499,1646,14999,Netflix|Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Hisense, A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,4.4,1,108.0,43,24,3946,822,28999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
iFFALCON, by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,1,126.0,50,24,3355,461,26999,Netflix|Disney+Hotstar|Youtube,3840 x 2160 Pixels
KODAK, 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.5,1,80.0,32,24,11992,3227,13499,Prime Video|Disney+Hotstar|Youtube,1366 x 768 Pixels
Vu, Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,1,126.0,50,30,16062,2905,35999,Netflix|Prime Video|Disney+Hotstar|Youtube,3840 x 2160 Pixels
